noise_rating,frequency,value
NR 0,31.5Hz,55
NR 10,31.5Hz,62
NR 20,31.5Hz,69
NR 30,31.5Hz,76
NR 40,31.5Hz,83
NR 50,31.5Hz,89
NR 60,31.5Hz,96
NR 70,31.5Hz,103
NR 80,31.5Hz,110
NR 90,31.5Hz,117
NR 100,31.5Hz,124
NR 110,31.5Hz,130
NR 120,31.5Hz,137
NR 130,31.5Hz,144
NR 0,63Hz,36
NR 10,63Hz,43
NR 20,63Hz,51
NR 30,63Hz,59
NR 40,63Hz,67
NR 50,63Hz,75
NR 60,63Hz,83
NR 70,63Hz,91
NR 80,63Hz,99
NR 90,63Hz,107
NR 100,63Hz,115
NR 110,63Hz,122
NR 120,63Hz,130
NR 130,63Hz,138
NR 0,125Hz,22
NR 10,125Hz,31
NR 20,125Hz,39
NR 30,125Hz,48
NR 40,125Hz,57
NR 50,125Hz,66
NR 60,125Hz,74
NR 70,125Hz,83
NR 80,125Hz,92
NR 90,125Hz,100
NR 100,125Hz,109
NR 110,125Hz,118
NR 120,125Hz,126
NR 130,125Hz,135
NR 0,250Hz,12
NR 10,250Hz,21
NR 20,250Hz,31
NR 30,250Hz,40
NR 40,250Hz,49
NR 50,250Hz,59
NR 60,250Hz,68
NR 70,250Hz,77
NR 80,250Hz,86
NR 90,250Hz,96
NR 100,250Hz,105
NR 110,250Hz,114
NR 120,250Hz,124
NR 130,250Hz,133
NR 0,500Hz,5
NR 10,500Hz,15
NR 20,500Hz,24
NR 30,500Hz,34
NR 40,500Hz,44
NR 50,500Hz,54
NR 60,500Hz,63
NR 70,500Hz,73
NR 80,500Hz,83
NR 90,500Hz,93
NR 100,500Hz,102
NR 110,500Hz,112
NR 120,500Hz,122
NR 130,500Hz,131
NR 0,1000Hz,0
NR 10,1000Hz,10
NR 20,1000Hz,20
NR 30,1000Hz,30
NR 40,1000Hz,40
NR 50,1000Hz,50
NR 60,1000Hz,60
NR 70,1000Hz,70
NR 80,1000Hz,80
NR 90,1000Hz,90
NR 100,1000Hz,100
NR 110,1000Hz,110
NR 120,1000Hz,120
NR 130,1000Hz,130
NR 0,2000Hz,-4
NR 10,2000Hz,7
NR 20,2000Hz,17
NR 30,2000Hz,27
NR 40,2000Hz,37
NR 50,2000Hz,47
NR 60,2000Hz,57
NR 70,2000Hz,68
NR 80,2000Hz,78
NR 90,2000Hz,88
NR 100,2000Hz,98
NR 110,2000Hz,108
NR 120,2000Hz,118
NR 130,2000Hz,128
NR 0,4000Hz,-6
NR 10,4000Hz,4
NR 20,4000Hz,14
NR 30,4000Hz,25
NR 40,4000Hz,35
NR 50,4000Hz,45
NR 60,4000Hz,55
NR 70,4000Hz,66
NR 80,4000Hz,76
NR 90,4000Hz,86
NR 100,4000Hz,96
NR 110,4000Hz,107
NR 120,4000Hz,117
NR 130,4000Hz,127
NR 0,8000Hz,-8
NR 10,8000Hz,2
NR 20,8000Hz,13
NR 30,8000Hz,23
NR 40,8000Hz,33
NR 50,8000Hz,44
NR 60,8000Hz,54
NR 70,8000Hz,64
NR 80,8000Hz,74
NR 90,8000Hz,85
NR 100,8000Hz,95
NR 110,8000Hz,105
NR 120,8000Hz,116
NR 130,8000Hz,126
